Real(z),Imag(z),Real(f(z)),Imag(f(z))
1.02951146000298,0.3025450353583081,3.0273832678634673,0.2280372328533864
-0.6619820835484402,-0.5311632796696606,-1.1678783178271765,-1.3590854101790315
-0.5890470006960635,-0.3086021023897061,-0.9263528899624454,-1.2536419191371004
-0.7449535482372025,-0.6113209011230176,-1.3086645515930653,-1.3118304534397232
-1.3836807383984695,-1.0650743958746078,-1.987172559729666,-0.18270293868305343
-0.5835490375046413,-0.7766605183792925,-1.4297701566458807,-1.6468820408224012
1.8006689271381342,-0.027379982252701662,6.84299677600891,-1.1533645310414702
0.5856259363587264,-0.9808824136134082,0.5520793007174226,-4.110625191087136
-1.9669440566713083,1.8609821328105722,-3.52827368990822,-4.598931225785356
-0.4353528885104434,1.4986268241786753,-2.927055997634363,0.6923906149465133
1.0518449868357869,0.6389290919129316,2.801837465510467,1.6219669083701804
0.22904506056111362,-0.410403470793256,0.3421207520505205,-2.008808717231177
-0.1530385034827204,1.905063407642134,-3.91192281055427,2.2270307093937802
-0.9931162040965584,-1.403758098331457,-2.9704894119851084,-1.019326368493434
1.0897640693435569,1.1805233233560375,1.9734785485317587,3.934030448342985
-1.5514513430938721,0.11704256739670305,-0.7096003787827763,-1.129086561980134
-1.571854707102625,0.8579313032609925,-1.4090283150796759,-1.9812241082809763
-1.1697561820004716,1.306254363877879,-2.677483301822625,-1.4434895070667269
0.6928515056298963,-1.0326450036564965,0.799390516536681,-4.49622929844218
1.5418240434634538,-0.3203875684893216,5.358221273886402,-2.6287376496259034
-0.31323251985936196,0.38856262359439864,-0.6793313406758407,-0.4662956522344792
0.6059635304300843,-1.8146863744730832,-1.713967776626803,-6.828640273144325
-1.1727047684879714,-1.5517296477905371,-3.3780379627736608,-0.4640177808448276
0.23372565527372569,1.253593382172661,-1.0494173753465077,2.0931806337355443
1.142933178031773,0.6593198528840296,3.1574599371023364,1.8257567753604294
-0.5091845738637781,-0.1484368693932656,-0.7811337216619924,-1.1457102106111647
-1.4629918426024435,1.1673580606483593,-2.1483633954442927,-2.080954518952798
-0.8084497453472914,-0.07960702966981703,-0.9696457791153336,-1.0304974936107985
-1.7587786562659669,-1.7853870468156448,-3.6118618577323027,1.7094271685948756
-1.4588400532177852,1.4659470611801928,-2.938466591745944,-2.3452704551327512
0.8352806209006274,-1.6913580704459936,-0.4924371650094024,-7.2082333793868205
